Область,Місто,Номер,Адреса
Івано-Франківська,Калуш,41,пл. Героїв, 10
Івано-Франківська,Івано-Франківськ,47/08,вул. Мельника Андрія, 11а
Івано-Франківська,Долина,357/08,вул. Грушевського М., 1-В
Івано-Франківська,Івано-Франківськ,417/08,вул. Галицька, 145а
Івано-Франківська,Надвірна,422/08,вул. Мазепи Гетьмана, 31а
Київська,Київ,94/26,вул. Руставелі Шота, 40/10
Київська,Київ,2,вул. Бальзака - Беретті, 42/20
Київська,Київ,3,пр-т Повітряних Сил, 10
Київська,Київ,7,вул. Велика Васильківська, 66-68
Київська,Київ,9,вул. Сергія Берегового, 1/8
Київська,Київ,Солом'янське,вул. Єреванська, 1
Київська,Вишгород,21,пр-т Мазепи Івана, 13/9
Київська,Київ,24,вул. А. Ахматової, 14-А
Київська,Київ,25,вул. Фролівська, 1/6
Київська,Київ,28,бульвар Гавела Вацлава, 16
Київська,Київ,34,вул. Саксаганського, 82
Київська,Київ,38,вул. Вишгородська, 21
Київська,Бровари,39,бульвар Незалежності, 2
Київська,Біла Церква,43,вул. Театральна, 9
Київська,Київ,45,пр-т Академіка Палладіна, 18/30
Київська,Київ,51,пр-т Леоніда Каденюка, 6
Київська,Київ,52,вул. Левка Лук'яненка, 21, корпус 4
Київська,Київ,53,вул. І.Миколайчука, 1-а
Київська,Бориспіль,54,вул. Київський шлях, 83
Київська,Переяслав,56,вул. Б. Хмельницького, 48
Київська,Ірпінь,58,вул. Шевченка Тараса, 3
Київська,Вишневе,59,вул. Святоюріївська, 20
Київська,Київ,60,вул. Басейна, 11
Київська,Київ,70,вул. Січових Стрільців, 10-Б
Київська,Київ,173,пр. Любомира Гузара, 1
Київська,Буча,215,вул. Енергетиків, 14б
Київська,Київ,370,просп. Бажана, 10
Київська,Київ,381,вул. Хрещатик, 7/11
Київська,Київ,390,вул. Героїв Севастополя, 48
Київська,Київ,369,просп. Голосіївський, 118, корп. 1
Київська,Київ,377,просп. Володимира Івасюка, 8
Київська,Київ,383,вул. Інститутська, 15/5
Київська,Вишневе,389,вул. Європейська, 49
Київська,Київ,395,вул. Старонаводницька 19, 21, 23
Київська,Боярка,429,площа Михайлівська, 6
Київська,Фастів,468,вул. Соборна, 32
Кіровоградська,Кропивницький,191/10,вул. Соборна, 17
Кіровоградська,Мала Виска,192/10,вул. Центральна, 69
Кіровоградська,Кропивницький,193/10,вул. В'ячеслава Чорновола, 20
Кіровоградська,Олександрія,194/10,пр-т Соборний, 67
Кіровоградська,Світловодськ,196/10,вул. Героїв України, 12
Кіровоградська,Бобринець,447/10,вул. Базарна, 130а
Львівська,Львів,290/13,вул. Стрийська, 98
Львівська,Львів,291/13,вул. Б. Хмельницького, 5
Львівська,Дрогобич,292/13,вул. Трускавецька, 3
Львівська,Львів,293/13,вул. С. Бандери, 21
Львівська,Східниця,294/13,вул. Шевченка, 55-А
Львівська,Новий Розділ,295/13,пр-т Шевченка, 32
Львівська,Моршин,296/13,вул. І. Франка, 43
Львівська,Рава-Руська,297/13,вул. Грушевського, 6
Львівська,Самбір,298/13,пл. Ринок, 22
Львівська,Стрий,302/13,вул. Андрія Корчака, 2/13
Львівська,Львів,405/13,вул. Стороженка, 12
Львівська,Львів,433/13,вул. Сихівська, 28
Львівська,Львів,440/13,вул. Шевченка Т., 19, прим. 33/37
Львівська,Трускавець,443/13,вул. Гоголя, 1
Миколаївська,Миколаїв,251/14,вул. Захисників Миколаєва, 1/1
Миколаївська,Миколаїв,216/14,пр-т Центральний, 22/а
Миколаївська,Вознесенськ,413/14,вул. Соборності, 21
Миколаївська,Південноукраїнськ,475/14,пр. Незалежності, 20, прим 183
Одеська,Одеса,197/15,вул. Італійська, 7
Одеська,Чорноморськ,198/15,пр-т Миру, 24
Одеська,Рені,201/15,вул. Степана Чобану, 132
Одеська,Подільськ,202/15,проспект Перемоги, 1а/1
Одеська,Ананьїв,204/15,вул. Незалежності, 20
Одеська,Болград,208/15,пр-т Соборний, 132
Одеська,Ізмаїл,211/15,пр-т Миру, 52
Одеська,Одеса,213/15,вул. Палія Семена, 120
Одеська,Одеса,255/15,вул. Олексія Вадатурського, 1/1
Одеська,Одеса,256/15,вул. Єврейська, 9
Одеська,Одеса,257/15,вул. Канатна, 112
Одеська,Одеса,427/15,вул. Корольова академіка, 70, прим. 1Н/1
Полтавська,Полтава,323/16,вул. Соборності, 19
Полтавська,Кременчук,324/16,б-р Українського відродження, 7
Полтавська,Миргород,325/16,вул. Данила Апостола, 5
Полтавська,Полтава,326/16,вул. Івана Мазепи, 17
Полтавська,Кременчук,327/16,вул. Халаменюка, 5
Полтавська,Лубни,329/16,пр-т Володимирський, 41
Полтавська,Горішні Плавні,330/16,просп. Героїв Дніпра, 42
Рівненська,Рівне,100/17,вул. Княгиницького, 5а
Рівненська,Рівне,104/17,вул. Богоявленська, 2
Рівненська,Березне,108/17,вул. Андріївська, 2
Рівненська,Сарни,111/17,вул. Широка, 13
Рівненська,Рівне,115/17,вул. Київська, 4
Рівненська,Рівне,116/17,вул. П. Могили, 31
Рівненська,Дубно,117/17,вул. Скарбова, 3
Рівненська,Костопіль,118/17,вул. Грушевського, 12
Рівненська,Вараш,128/17,Незалежності майдан, 8
Сумська,Суми,303/18,вул. Герасима Кондратьєва, 4
Сумська,Ромни,304/18,бул. Шевченка, 18-а
Сумська,Конотоп,307/18,пр-т Червоної Калини, 16
Сумська,Шостка,308/18,вул. Свободи, 21
Сумська,Суми,309/18,вул. Петропавлівська, 86
Сумська,Охтирка,310/18,вул. Ярославського, 4
Тернопільська,Тернопіль,71/19,вул. Франка І., 23
Тернопільська,Борщів,72/19,вул. Мазепи гетьмана, 7
Тернопільська,Чортків,74/19,вул. Степана Бандери, 8-а
Тернопільська,Тернопіль,399/19,вул. Замкова, 9, приміщення 14
Тернопільська,Кременець,420/19,пров. Шевченка, 1, прим. 1
Тернопільська,Тернопіль,421/19,вул. 15 Квітня, 9
Тернопільська,Підволочиськ,425/19,вул. Данила Галицького, 57
Харківська,Харків,270/20,вул. Космічна, 20
Харківська,Харків,271/20,пр-т Перемоги, 70
Харківська,Харків,277/20,пр-т Героїв Харкова, 144
Харківська,Харків,278/20,Полтавський шлях, 31
Харківська,Харків,241/20,просп. Гагаріна, 165, корп. 5
Харківська,Харків,380/20,майдан Свободи, 5
Харківська,Харків,439/20,проспект Олександрівський, 91
Харківська,Харків,474/20,вул. Героїв Праці, 20/321
Херсонська,Херсон,268/21,проспект Незалежності, 68
Херсонська,Херсон,473/21,пр-т 200-річчя Херсона, 2
Хмельницька,Хмельницький,85/22,вул. Проскурівського підпілля, 105
Хмельницька,Кам’янець-Подільський,80/22,вул. Огієнка, 51
Хмельницька,Хмельницький,82/22,вул. Свободи, 22
Хмельницька,Шепетівка,83/22,вул. Героїв Небесної Сотні, 39
Хмельницька,Старокостянтинів,328/22,вул. Острозького, 17/1
Хмельницька,Красилів,367/22,вул. Булаєнка, 2
Хмельницька,Хмельницький,449/22,вул. Соборна, 16
Черкаська,Черкаси,130/23,вул. Гоголя, 221
Черкаська,Черкаси,131/23,б-р Шевченка, 389
Черкаська,Черкаси,140/23,вул. Припортова, 42/1
Черкаська,Золотоноша,142/23,вул. Садовий проїзд, 6
Черкаська,Сміла,145/23,вул. Соборна, 103
Черкаська,Умань,148/23,вул. В’ячеслава Чорновола, 1-а
Черкаська,Звенигородка,152/23,пр-т Шевченка, 40-а
Черкаська,Корсунь-Шевченківський,153/23,вул. Героїв Майдану, 1-а
Черкаська,Шпола,415/23,вул. Соборна, 12
Черкаська,Канів,418/23,вул. Торгова, 4
Чернівецька,Чернівці,46/25,вул. Героїв Майдану, 77
Чернівецька,Чернівці,30/25,вул. Головна, 51
Чернівецька,Кіцмань,36/25,вул. Незалежності, 28а/1
Чернівецька,Новоселиця,76/25,вул. Хотинська, 1-А
Чернівецька,Сторожинець,426/25,вул. Федьковича, 15
Чернівецька,Чернівці,444/25,вул. Головна, 204-В
Чернігівська,Чернігів,27/24,вул. Княжа, 7
Чернігівська,Чернігів,394/24,просп. Перемоги, 44
Чернігівська,Чернігів,463/24,пр-т Миру, 35
